county,change,2024,2020,2010,2000,1990,rank
Baker,0.1,"16,746","16,723","16,185","16,741","15,317",28
Benton,2.6,"97,720","95,250","85,735","78,153","70,811",11
Clackamas,1.2,"426,567","421,547","376,780","338,391","278,850",3
Clatsop,1.5,"41,785","41,174","37,070","35,630","33,301",19
Columbia,1.7,"53,639","52,741","49,430","43,560","37,557",17
Coos,0.5,"65,270","64,934","63,035","62,779","60,273",16
Crook,5.8,"26,366","24,912","21,020","19,182","14,111",23
Curry,0.6,"23,597","23,462","22,355","21,137","19,327",27
Deschutes,4.8,"208,612","199,061","157,905","115,367","74,958",7
Douglas,-0.2,"111,129","111,377","107,690","100,399","94,649",9
Gilliam,4.4,"2,108","2,020","1,870","1,915","1,717",34
Grant,-0.9,"7,181","7,247","7,460","7,935","7,853",33
Harney,-0.6,"7,463","7,505","7,445","7,609","7,060",32
Hood River,1.5,"24,357","23,996","22,385","20,411","16,903",26
Jackson,-0.9,"220,999","223,104","203,340","181,269","146,389",6
Jefferson,3.6,"25,447","24,563","21,750","19,009","13,676",25
Josephine,-0.8,"87,416","88,135","82,775","75,726","62,649",13
Klamath,0.4,"69,878","69,567","66,505","63,775","57,702",15
Lake,0.5,"8,221","8,179","7,890","7,422","7,186",30
Lane,0,"382,771","382,641","352,010","322,959","282,912",4
Lincoln,1.4,"51,153","50,464","46,135","44,479","38,889",18
Linn,1.6,"130,848","128,782","116,840","103,069","91,227",8
Malheur,-0.6,"31,419","31,619","31,345","31,615","26,038",20
Marion,0.5,"347,798","346,042","315,900","284,834","228,483",5
Morrow,1,"12,791","12,665","11,175","10,995","7,625",29
Multnomah,-1.5,"800,227","812,723","736,785","660,486","583,887",1
Polk,1.5,"88,799","87,509","75,495","62,380","49,541",12
Sherman,2.4,"1,927","1,882","1,765","1,934","1,918",35
Tillamook,0.6,"27,574","27,408","25,260","24,262","21,570",21
Umatilla,1.1,"81,030","80,161","76,000","70,548","59,249",14
Union,-0.6,"26,052","26,199","25,810","24,530","23,598",24
Wallowa,0.5,"7,497","7,462","7,005","7,226","6,911",31
Wasco,-0.8,"26,444","26,662","25,235","23,791","21,683",22
Washington,1.9,"611,389","600,167","531,070","445,342","311,554",2
Wheeler,1.9,"1,483","1,455","1,440","1,547","1,396",36
Yamhill,1.7,"109,682","107,836","99,405","84,992","65,551",10
